LATITUDE,LONGITUDE,YEAR,OND_SUM
9.0,77.0,1993,917.3397662118077
9.0,77.0,1994,512.6083811745048
9.0,77.0,1995,482.93127124011517
9.0,77.0,1996,611.6498916894197
9.0,77.0,1997,918.8427871763706
9.0,77.0,1998,748.50047390908
9.0,77.0,1999,1286.9590118005872
9.0,77.0,2000,572.0221603363752
9.0,77.0,2001,633.3331222087145
9.0,77.0,2002,791.790284126997
9.0,77.0,2003,731.244627058506
9.0,77.0,2004,456.81242693960667
9.0,77.0,2005,602.6904148161411
9.0,77.0,2006,849.9362609684467
9.0,77.0,2007,631.1042693257332
9.0,77.0,2008,446.0963684618473
9.0,77.0,2009,911.413448125124
9.0,77.0,2010,1041.6121129989624
9.0,77.0,2011,543.1113392859697
9.0,77.0,2012,356.1317679435015
9.0,77.0,2013,617.9845124483109
9.0,77.0,2014,575.0804781019688
9.0,77.0,2015,871.1024373620749
9.0,77.0,2016,482.73579800873995
9.0,77.0,2017,1246.6064958125353
9.0,77.0,2018,577.1586936116219
9.0,77.0,2019,541.8720281496644
9.0,77.0,2020,561.0232722759247
9.0,77.0,2021,1773.400877714157
9.0,77.0,2022,659.7021960541606
9.0,77.0,2023,988.2236316427588
9.25,76.5,1901,687.6397526264191
9.25,76.5,1902,668.8446088433266
9.25,76.5,1903,570.9109972268343
9.25,76.5,1904,328.9955489784479
9.25,76.5,1905,472.7282974347472
9.25,76.5,1906,795.1468678712845
9.25,76.5,1907,655.406904630363
9.25,76.5,1908,413.191930770874
9.25,76.5,1909,598.7012826353312
9.25,76.5,1910,762.0999611616135
9.25,76.5,1911,696.7779017388821
9.25,76.5,1912,867.4041310250759
9.25,76.5,1913,625.9021673798561
9.25,76.5,1914,766.0527947545052
9.25,76.5,1915,498.35265862196684
9.25,76.5,1916,778.6108880341053
9.25,76.5,1917,707.8923153877258
9.25,76.5,1918,833.097211278975
9.25,76.5,1919,889.2429276704788
9.25,76.5,1920,818.7240934371948
9.25,76.5,1921,588.5451725423336
9.25,76.5,1922,712.1648884490132
9.25,76.5,1923,527.0046239197254
9.25,76.5,1924,456.3127874881029
9.25,76.5,1925,825.0991361737251
9.25,76.5,1926,683.3375985175371
9.25,76.5,1927,276.16578783094883
9.25,76.5,1928,977.2533447742462
9.25,76.5,1929,844.508553147316
9.25,76.5,1930,959.5598979070783
9.25,76.5,1931,507.55564780533314
9.25,76.5,1932,1005.5432711020112
9.25,76.5,1933,758.0941386222839
9.25,76.5,1934,655.1461510062218
9.25,76.5,1935,803.6925664097071
9.25,76.5,1936,603.0317142382264
9.25,76.5,1937,567.5227492079139
9.25,76.5,1938,527.144204467535
9.25,76.5,1939,914.2617589384317
9.25,76.5,1940,763.0174322426319
9.25,76.5,1941,540.5766828209162
9.25,76.5,1942,800.2859854996204
9.25,76.5,1943,843.6967787444592
9.25,76.5,1944,806.7083600461483
9.25,76.5,1945,800.0764854848385
9.25,76.5,1946,978.4330931827426
9.25,76.5,1947,426.4826565384865
9.25,76.5,1948,379.57098615169525
9.25,76.5,1949,432.09552405774593
9.25,76.5,1950,666.2611341252923
9.25,76.5,1951,648.821643948555
9.25,76.5,1952,494.4271050095558
9.25,76.5,1953,606.517549559474
9.25,76.5,1954,501.6617639660835
9.25,76.5,1955,645.09339594841
9.25,76.5,1956,680.1572242677212
9.25,76.5,1957,565.3812168836594
9.25,76.5,1958,512.2080893218517
9.25,76.5,1959,482.9324942678213
9.25,76.5,1960,907.2150981724262
9.25,76.5,1961,449.9456957653165
9.25,76.5,1962,447.80490896105766
9.25,76.5,1963,595.4902715608478
9.25,76.5,1964,654.6369268000126
9.25,76.5,1965,706.3898823410273
9.25,76.5,1966,762.8664120435715
9.25,76.5,1967,439.6903272867203
9.25,76.5,1968,642.634298980236
9.25,76.5,1969,487.4801678210497
9.25,76.5,1970,440.0719984769821
9.25,76.5,1971,156.18368685990572
9.25,76.5,1972,739.5888829380274
9.25,76.5,1973,477.9053687155247
9.25,76.5,1974,228.64101123809814
9.25,76.5,1975,702.9543824717402
9.25,76.5,1976,574.4363623559475
9.25,76.5,1977,627.9777987748384
9.25,76.5,1978,762.469574123621
9.25,76.5,1979,551.421154782176
9.25,76.5,1980,414.4445875287056
9.25,76.5,1981,503.725594997406
9.25,76.5,1982,376.2905327677727
9.25,76.5,1983,320.71273075044155
9.25,76.5,1984,262.6619093865156
9.25,76.5,1985,360.7612265050411
9.25,76.5,1986,375.2627095580101
9.25,76.5,1987,693.6845357716084
9.25,76.5,1988,204.7335166335106
9.25,76.5,1989,473.0034409761429
9.25,76.5,1990,550.3464325666428
9.25,76.5,1991,456.8108387440443
